Washington,24906
Walton,73456
Wakulla,33144
Volusia,548783
Union,16141
Taylor,21762
Suwannee,43514
Sumter,127335
St. Lucie,324599
St. Johns,265724
Seminole,467382
Sarasota,429336
Santa Rosa,184345
Putnam,73147
Polk,713148
Pinellas,957989
Pasco,551598
Palm Beach,1481233
Osceola,380331
Orange,1409949
Okeechobee,39716
Okaloosa,209230
Nassau,88492
Monroe,82244
Miami-Dade,2690113
Martin,158323
Marion,370372
Manatee,394824
Madison,18051
Liberty,7987
Levy,42392
Leon,290965
Lee,752251
Lake,375059
Lafayette,8343
Jefferson,14405
Jackson,48067
Indian River,158002
Holmes,19622
Hillsborough,1444359
Highlands,101174
Hernando,192128
Hendry,39439
Hardee,25632
Hamilton,13973
Gulf,15205
Glades,12183
Gilchrist,17759
Gadsden,44233
Franklin,12232
Flagler,113888
Escambia,318828
Duval,983153
Dixie,16701
DeSoto,34027
Columbia,69265
Collier,372797
Clay,216308
Citrus,151888
Charlotte,184837
Calhoun,13863
Broward,1934551
Brevard,601573
Bradford,27928
Bay,181384
Baker,28003
Alachua,276171
